track_name,track_add_date,track_add_time,multiple_artists_bool,name_of_artists,album_name,album_release_date,album_release_date_precision,number_of_tracks_in_album,position_in_playlist,track_duration_ms,track_popularity,track_explicit,images_path,data_collection_date
I Wanna Be Yours,3/31/23,10:02:16,FALSE,['Arctic Monkeys'],AM,9/9/13,day,12,31,183956,92,FALSE,./images/i_wanna_be_yours_arctic_monkeys.jpg,3/31/23
"Arcángel: Bzrp Music Sessions, Vol. 54",3/31/23,10:02:16,TRUE,"['Bizarrap', 'Arcángel']","Arcángel: Bzrp Music Sessions, Vol. 54",3/22/23,day,1,32,223019,85,FALSE,./images/arcngel_bzrp_music_sessions_vol_54_bizarrap.jpg,3/31/23
golden hour,3/31/23,10:02:16,FALSE,['JVKE'],this is what ____ feels like (Vol. 1-4),9/23/22,day,12,33,209259,89,FALSE,./images/golden_hour_jvke.jpg,3/31/23
"Quevedo: Bzrp Music Sessions, Vol. 52",3/31/23,10:02:16,TRUE,"['Bizarrap', 'Quevedo']","Quevedo: Bzrp Music Sessions, Vol. 52",7/6/22,day,1,34,198937,92,FALSE,./images/quevedo_bzrp_music_sessions_vol_52_bizarrap.jpg,3/31/23
Escapism.,3/31/23,10:02:16,TRUE,"['RAYE', '070 Shake']",My 21st Century Blues,2/3/23,day,15,35,272373,81,TRUE,./images/escapism_raye.jpg,3/31/23
Set Me Free Pt.2,3/31/23,10:02:16,FALSE,['Jimin'],Set Me Free Pt.2,3/17/23,day,1,36,200929,89,TRUE,./images/set_me_free_pt2_jimin.jpg,3/31/23
Cupid - Twin Ver.,3/31/23,10:02:16,FALSE,['FIFTY FIFTY'],The Beginning: Cupid,2/24/23,day,3,37,174253,86,FALSE,./images/cupid_twin_ver_fifty_fifty.jpg,3/31/23
I Ain't Worried,3/31/23,10:02:16,FALSE,['OneRepublic'],OneRepublic (Japan Paradise Tour Edition),2/15/23,day,18,38,148120,51,FALSE,./images/i_aint_worried_onerepublic.jpg,3/31/23
OMG,3/31/23,10:02:16,FALSE,['NewJeans'],NewJeans 'OMG',1/2/23,day,2,39,212253,93,FALSE,./images/omg_newjeans.jpg,3/31/23
Mockingbird,3/31/23,10:02:16,FALSE,['Eminem'],Encore (Deluxe Version),11/12/04,day,23,40,250760,91,TRUE,./images/mockingbird_eminem.jpg,3/31/23
Feliz Cumpleaños Ferxxo,3/31/23,10:02:16,FALSE,['Feid'],FELIZ CUMPLEAÑOS FERXXO TE PIRATEAMOS EL ÁLBUM,9/14/22,day,15,41,155960,89,FALSE,./images/feliz_cumpleaos_ferxxo_feid.jpg,3/31/23
Players,3/31/23,10:02:16,FALSE,['Coi Leray'],Players,11/30/22,day,1,42,139560,92,TRUE,./images/players_coi_leray.jpg,3/31/23
Shorty Party,3/31/23,10:02:16,TRUE,"['Cartel De Santa', 'La Kelly']",Shorty Party,3/4/23,day,1,43,265000,90,TRUE,./images/shorty_party_cartel_de_santa.jpg,3/31/23
Rara Vez,3/31/23,10:02:16,TRUE,"['Taiu', 'Milo j']",Rara Vez,2/8/23,day,1,44,128677,89,FALSE,./images/rara_vez_taiu.jpg,3/31/23
El Azul,3/31/23,10:02:16,TRUE,"['Junior H', 'Peso Pluma']",El Azul,2/10/23,day,1,45,187225,88,TRUE,./images/el_azul_junior_h.jpg,3/31/23
La Jumpa,3/31/23,10:02:16,TRUE,"['Arcángel', 'Bad Bunny']",Sr. Santos,12/1/22,day,18,46,255693,87,TRUE,./images/la_jumpa_arcngel.jpg,3/31/23
ceilings,3/31/23,10:02:16,FALSE,['Lizzy McAlpine'],five seconds flat,4/8/22,day,14,47,182887,90,FALSE,./images/ceilings_lizzy_mcalpine.jpg,3/31/23
Bones,3/31/23,10:02:16,FALSE,['Imagine Dragons'],Mercury - Acts 1 & 2,7/1/22,day,32,48,165264,86,FALSE,./images/bones_imagine_dragons.jpg,3/31/23
Snooze,3/31/23,10:02:16,FALSE,['SZA'],SOS,12/9/22,day,23,49,201800,91,TRUE,./images/snooze_sza.jpg,3/31/23
Like Crazy (English Version),3/31/23,10:02:16,FALSE,['Jimin'],FACE,3/24/23,day,6,50,212253,84,FALSE,./images/like_crazy_english_version_jimin.jpg,3/31/23
Flowers,4/1/23,10:17:21,FALSE,['Miley Cyrus'],Endless Summer Vacation,3/10/23,day,13,1,200600,88,FALSE,./images/flowers_miley_cyrus.jpg,4/1/23
TQG,4/1/23,10:17:21,TRUE,"['KAROL G', 'Shakira']",MAÑANA SERÁ BONITO,2/24/23,day,17,2,197933,97,TRUE,./images/tqg_karol_g.jpg,4/1/23
Kill Bill,4/1/23,10:17:21,FALSE,['SZA'],SOS,12/8/22,day,23,3,153946,95,FALSE,./images/kill_bill_sza.jpg,4/1/23
BESO,4/1/23,10:17:21,TRUE,"['ROSALÍA', 'Rauw Alejandro']",RR,3/24/23,day,3,4,194543,88,FALSE,./images/beso_rosala.jpg,4/1/23
Ella Baila Sola,4/1/23,10:17:21,TRUE,"['Eslabon Armado', 'Peso Pluma']",Ella Baila Sola,3/16/23,day,1,5,165671,91,FALSE,./images/ella_baila_sola_eslabon_armado.jpg,4/1/23
FLOWER,4/1/23,10:17:21,FALSE,['JISOO'],ME,3/31/23,day,2,6,173134,0,FALSE,./images/flower_jisoo.jpg,4/1/23
Boy's a liar Pt. 2,4/1/23,10:17:21,TRUE,"['PinkPantheress', 'Ice Spice']",Boy's a liar Pt. 2,2/3/23,day,2,7,131013,97,FALSE,./images/boys_a_liar_pt_2_pinkpantheress.jpg,4/1/23
As It Was,4/1/23,10:17:21,FALSE,['Harry Styles'],Harry's House,5/20/22,day,13,8,167303,91,FALSE,./images/as_it_was_harry_styles.jpg,4/1/23
Die For You (with Ariana Grande) - Remix,4/1/23,10:17:21,TRUE,"['The Weeknd', 'Ariana Grande']",Starboy (Deluxe),3/14/23,day,21,9,232857,81,FALSE,./images/die_for_you_with_ariana_grande_remix_the_weeknd.jpg,4/1/23
La Bebe - Remix,4/1/23,10:17:21,TRUE,"['Yng Lvcas', 'Peso Pluma']",La Bebe (Remix),3/17/23,day,2,10,234352,87,TRUE,./images/la_bebe_remix_yng_lvcas.jpg,4/1/23
Yandel 150,4/1/23,10:17:21,TRUE,"['Yandel', 'Feid']",Resistencia,1/13/23,day,17,11,216148,89,TRUE,./images/yandel_150_yandel.jpg,4/1/23
Creepin' (with The Weeknd & 21 Savage),4/1/23,10:17:21,TRUE,"['Metro Boomin', 'The Weeknd', '21 Savage']",HEROES & VILLAINS,12/2/22,day,15,12,221520,96,TRUE,./images/creepin_with_the_weeknd_21_savage_metro_boomin.jpg,4/1/23
Like Crazy,4/1/23,10:17:21,FALSE,['Jimin'],FACE,3/24/23,day,6,13,212241,86,FALSE,./images/like_crazy_jimin.jpg,4/1/23
Calm Down (with Selena Gomez),4/1/23,10:17:21,TRUE,"['Rema', 'Selena Gomez']",Calm Down (with Selena Gomez),8/25/22,day,1,14,239317,95,FALSE,./images/calm_down_with_selena_gomez_rema.jpg,4/1/23
"Shakira: Bzrp Music Sessions, Vol. 53",4/1/23,10:17:21,TRUE,"['Bizarrap', 'Shakira']","Shakira: Bzrp Music Sessions, Vol. 53",1/11/23,day,1,15,214945,97,FALSE,./images/shakira_bzrp_music_sessions_vol_53_bizarrap.jpg,4/1/23
All Eyes On Me,4/1/23,10:17:21,FALSE,['JISOO'],ME,3/31/23,day,2,16,163522,0,FALSE,./images/all_eyes_on_me_jisoo.jpg,4/1/23
Anti-Hero,4/1/23,10:17:21,FALSE,['Taylor Swift'],Midnights,10/21/22,day,13,17,200690,94,FALSE,./images/antihero_taylor_swift.jpg,4/1/23
Unholy (feat. Kim Petras),4/1/23,10:17:21,TRUE,"['Sam Smith', 'Kim Petras']",Gloria,1/27/23,day,13,18,156943,86,FALSE,./images/unholy_feat_kim_petras_sam_smith.jpg,4/1/23
I'm Good (Blue),4/1/23,10:17:21,TRUE,"['David Guetta', 'Bebe Rexha']",I'm Good (Blue),8/26/22,day,2,19,175238,94,TRUE,./images/im_good_blue_david_guetta.jpg,4/1/23
PRC,4/1/23,10:17:21,TRUE,"['Peso Pluma', 'Natanael Cano']",PRC,1/23/23,day,1,20,184066,92,TRUE,./images/prc_peso_pluma.jpg,4/1/23
DOGTOOTH,4/1/23,10:17:21,FALSE,"['Tyler, The Creator']",CALL ME IF YOU GET LOST: The Estate Sale,3/31/23,day,24,21,161041,0,TRUE,./images/dogtooth_tyler_the_creator.jpg,4/1/23
La Bachata,4/1/23,10:17:21,FALSE,['Manuel Turizo'],2000,3/17/23,day,15,22,162637,80,FALSE,./images/la_bachata_manuel_turizo.jpg,4/1/23
Die For You,4/1/23,10:17:21,FALSE,['The Weeknd'],Starboy,11/24/16,day,18,23,260253,90,FALSE,./images/die_for_you_the_weeknd.jpg,4/1/23
AMG,4/1/23,10:17:21,TRUE,"['Natanael Cano', 'Peso Pluma', 'Gabito Ballesteros']",AMG,11/24/22,day,1,24,174942,92,TRUE,./images/amg_natanael_cano.jpg,4/1/23
Last Night,4/1/23,10:17:21,FALSE,['Morgan Wallen'],One Thing At A Time,3/3/23,day,36,25,163854,86,TRUE,./images/last_night_morgan_wallen.jpg,4/1/23
Hey Mor,4/1/23,10:17:21,TRUE,"['Ozuna', 'Feid']",OzuTochi,10/7/22,day,18,26,196600,91,FALSE,./images/hey_mor_ozuna.jpg,4/1/23
Cupid - Twin Ver.,4/1/23,10:17:21,FALSE,['FIFTY FIFTY'],The Beginning: Cupid,2/24/23,day,3,27,174253,86,FALSE,./images/cupid_twin_ver_fifty_fifty.jpg,4/1/23
Like Crazy (English Version),4/1/23,10:17:21,FALSE,['Jimin'],FACE,3/24/23,day,6,28,212253,85,FALSE,./images/like_crazy_english_version_jimin.jpg,4/1/23
Coco Chanel,4/1/23,10:17:21,TRUE,"['Eladio Carrion', 'Bad Bunny']",3MEN2 KBRN,3/17/23,day,18,29,208125,88,TRUE,./images/coco_chanel_eladio_carrion.jpg,4/1/23
"Arcángel: Bzrp Music Sessions, Vol. 54",4/1/23,10:17:21,TRUE,"['Bizarrap', 'Arcángel']","Arcángel: Bzrp Music Sessions, Vol. 54",3/22/23,day,1,30,223019,85,FALSE,./images/arcngel_bzrp_music_sessions_vol_54_bizarrap.jpg,4/1/23
Here With Me,4/1/23,10:17:21,FALSE,['d4vd'],Here With Me,9/22/22,day,1,31,242484,93,FALSE,./images/here_with_me_d4vd.jpg,4/1/23
